time,open,high,low,close
1713771600,2947.45,2949.45,2947,2948.75
1713771900,2948.15,2949.6,2946.25,2947.95
1713772200,2947.9,2948,2945.5,2946.5
1713772500,2946.4,2949.5,2944.45,2948.1
1713772800,2949.05,2949.25,2946.65,2946.7
1713773100,2946.65,2949.3,2946.4,2948.5
1713773400,2948.45,2952.65,2946.95,2951.35
1713773700,2951.5,2952.5,2949,2952.5
1713774000,2952.55,2954,2951,2951.85
1713774300,2951.8,2952,2949.5,2949.9
1713774600,2949.95,2952,2949.65,2951.45
1713774900,2951.5,2953.2,2949.8,2952.5
1713775200,2953.3,2953.6,2952.3,2953.55
1713775500,2953.5,2956,2953.05,2953.9
1713775800,2953.95,2954.5,2949.8,2952
1713776100,2950.8,2953.2,2950.3,2951.2
1713776400,2950.55,2951.2,2947.5,2951.2
1713776700,2950.3,2952,2949.05,2950.95
1713777000,2951.05,2955,2951.05,2954.4
1713777300,2955,2956,2952.55,2955.6
1713777600,2956,2957.8,2954.75,2957
1713777900,2957.5,2957.5,2955.2,2955.65
1713778200,2956.25,2957.25,2954.4,2955.25
1713778500,2954.9,2957,2954.35,2955.95
1713778800,2955.85,2964,2955.85,2961.4
1713779100,2960.95,2963,2959.6,2962.4
1713779400,2962.85,2965.65,2961.15,2962
1713779700,2962.1,2964.7,2960.15,2962.9
1713843900,2958,2984.85,2952.8,2982.85
1713844200,2982.4,2986.75,2966.05,2970
1713844500,2969.85,2970,2955,2960.55
1713844800,2960.9,2964.65,2955,2955
1713845100,2954.1,2956.75,2951,2954.85
1713845400,2954.95,2955,2950.05,2954.05
1713845700,2953.95,2955,2946,2951.65
1713846000,2951.95,2959.9,2950.95,2957.55
1713846300,2958,2964,2957.55,2962.9
1713846600,2962.65,2967.4,2960,2965
1713846900,2965.05,2970.45,2965,2967.7
1713847200,2967.75,2968.1,2965,2966.25
1713847500,2966.3,2970.1,2963.9,2967.7
1713847800,2967.4,2968.8,2962.05,2962.55
1713848100,2962.5,2963.75,2958,2958.45
1713848400,2958.9,2959,2958,2958
1713848700,2958.55,2958.6,2958,2958.45
1713849000,2958.4,2958.55,2953,2954
1713849300,2954.3,2955.25,2947.45,2948.95
1713849600,2947.7,2952.9,2946,2952.2
1713849900,2952.25,2953,2950,2952
1713850200,2951.9,2952.65,2940.25,2941.15
1713850500,2940.7,2944.5,2936,2938.2
1713850800,2938.5,2941.35,2935.4,2938.45
1713851100,2938.4,2941.95,2936.1,2939
1713851400,2938.8,2939.45,2930,2936
1713851700,2936.6,2939.55,2933.1,2939.35
1713852000,2938.8,2941,2935.2,2935.65
1713852300,2935.55,2936.9,2932.05,2933.05
1713852600,2933,2934.5,2927,2934.25
1713852900,2933.8,2940.95,2933,2939.5
1713853200,2939.35,2942.95,2938.8,2942.95
1713853500,2942.5,2944.3,2941,2942.45
1713853800,2942,2946,2941.95,2943.9
1713854100,2943.75,2945.9,2941.05,2944.4
1713854400,2944.35,2946.45,2942.1,2944.9
1713854700,2944.85,2948,2944.1,2945.7
1713855000,2945.65,2948.35,2945,2945.8
1713855300,2945.85,2947.15,2940.7,2942.7
